"With respect to ESM 203, you are most interested in learning about:","With respect to ESM 203, you are most worried about:","At the end of this class, one thing you would like to be better at than you are now is:","What is a question that we should ask you, but we haven't?","In one word, describe the Earth."
heat pattens in oceans and how they impact the climate,the course being too technical so much that I don't conceptually understand the material,understanding and being able to explain climate change and earth processes,,powerful
Impacts of climate change,Staying engaged in online zoom lectures,Knowledge of climate change (facts/numbers) to be able to confidently communicate to others,How comfortable are you with online lectures/discussions????,Breathtaking
Atmospheric and Oceanic Circulation,not sure,explaining environmental physical processes,What was your major/background?,Blue
,,,,Biomes
,,,,Home
I cant choose just one thing,what the workload will be,,,home
Modeling,Not understanding the coding language/how to manipulate data,Understanding of builing models and using data,,Special
environmental physics! Most of my background is in ecophysiology so I'm excited to learn more,the math? bit rusty,"I would like to have a better understanding our the geophysical properties of our planet and how things like hydrology, atmospheric sciences and geology all work in unison and not as separate entities",Whats your background in Earth System Science?,Burning
"The interconnection of atmospheric sciences, as opposed to learning about geology, oceanography, hydrology, etc., in isolation.",Keeping up with the math!,"Explaining climate change, understanding how atmospheric sciences are affected by human activities, and the range of habitable conditions on this planet (i.e. how much can we mess around with things before we really screw ourselves over).",What are the limits to our growth?,Home
"I'd love to hopefully learn more about the intersection of climate, oceans and coastal change to catch-up on the latest research on this nexus.",Falling behind in becoming adept at whatever quantitative skills we'll need to succeed in this course (It's been a while since I've had to do hard science),How scientists communicate their findings to decision-makers and how those interactions are developing for maximum impact,What's your favorite animal?,Home
"The science behind climate change, and how to use this knowledge to help curb it.","Getting back into the flow of learning and assignments, after being out of school for so long.","Explaining the science behind climate change in simple terms, so anyone can understand it.",,Dynamic
,,,,Hurting
"Water resources, soils, carbon cycle, and how they all interact/connect with climate change",My lack of formal training in this topic - I'm coming from outside of the discipline but am excited to learn!,"Understanding the interconnection of the earth's processes to make sound, evidence-based policy decisions and be able to speak about them clearly/succinctly",To what extend does human action impact the environment and our perceived environmental quality/changes?,Abundant
"""How to address Climate Denier arguments""!",My lack of biology and chemisty knowledge,understanding earth's weather systems,,goldilocks
,,,,Everything
I am interested in learning about atmospheric dynamics and environmental physics.,"I am worried about being ""zoomed out"" by the end of the quarter.",I hope to be better at recognizing equations in research papers.,Something about environmental racism.,Powerful
Ocean systems and climate change,,Developing a skillset and confidence for analyzing environmental management issues. Additionally I would like to be better about communicating clearly and concisely on these issues.,,marvelous
,,,,
"Using knowledge of how global and regional atmospheric, oceanic and surface physical processes work in order to make tangible environmental management plans that are backed by science","Understanding the intricacies and differences between small scale physical processes and larger scale, global processes","Using earth science and my understanding of the carbon cycle, hydrological processes, atmospheric circulation, etc. to analyze, understand and create climate models",What do you think is the biggest environmental threat that we face due to climate change?,Life
Ocean and Climate Change,the truth about the status of the environment,Talking about climate change and encouraging others to follow along.,What is your experience with environmental issues.,Alive
everything,n/a,teaching others this topic,n/a,screwed
Energy cycles. I have a pretty strong background hydrological processes,I'm not too worried yet but need to look into closer,Refresh my hydrology skills and reground my skills in physical sciences.,Pretty wide range already.,
How the economy can support businesses that aid in the protection of the environment.,My lack of business or economic foundational knowledge.,Understanding how businesses develop,,Balance
,,,,home
"Up do date climate change research having to do with climate projections, learning more about what is currently being done/what I can do to reduce my carbon footprint, learning more about sustainable harvesting systems in water, timber, etc.",,"More conscious about plastic use, and single use items. Find ways to repurpose single use items, find ways to be a more conscious consumer",,Balance
I am interested in diving deeper into the topics that I learned as an undergraduate.,"I am just worried about juggling all the classes, workshops, and everything else.",I want to become better at identifying potential solutions to environmental issues.,N/A,Life
Systems functioning! Although I have a background in earth science but a deeper understanding of systems will be new and exciting!,Keeping track of the weekly and overall assignments,Energy balances,"Are you in a safe, adequate remote working environment?",Unique
Gaining a deeper understanding of climate change and climate dynamics,"Like with all my classes, I am worried about having an adequate, quiet workspace since I live in a noisy environment and the library is closed",Communicating climate change to other people more effectively (by using the information learned in this class),N/a,Unique
I am most excited for the whole class! This will be the highlight of my fall course load. I'm also interested to hear about Professor Caylor's research and topics on ecohydrology. I am also excited to learn about climate change/professional opinions on it/modeling.,"Thankfully, I am more excited than worried! But I am worried about dense concepts being taught online. I am worried about on-line learning.",I hope to become more comfortable with environmental physics as well as mass balance concepts. I also want to be better at engaging in conversations regarding the physical science with peers/mentors/professionals.,,dynamic
,"online learning, assignments",,,struggling
The complex interactions of the different Earth systems,the challenges of mastering the material and succeeding in an online format,understanding the intricacies of how different weather systems form,,home
air pollution,figuring out what i do not know,,,complex
climate dynamics and climate change,hydrology equations,how systems are quantitatively impacted by climate change,favorite UVA basketball player :),hopeful
I'm most interested in the ocean circulation section of the course.,I am most worried about the hydrology section as I don't have a strong background in hydrology.,To better understand what drives global climate change and how to model and explain such causes.,A question relating to concerns about online learning.,Vast
I think I am most unfamiliar with hydrological processes/water management so I am interested in learning more about that.,,I'd like to have a better idea of the most common and effective tools scientists use to study processes like climate change,,resilient
Climate science and sound resorces that I can reference when talking about global climate change. I'm also interested in learning how relate the idea/term of sustainability scientific data/science.,"I'm a bit worried about getting too in depth with science topics that will feel over my head, or learning about topics that are so detailed that I will not be able to successfully retain the information for future reference.",I would like to be better at filtering through good vs bad scientific resources. I would also like to have a better baseline knowledge of earth systems to be able to more critically analyze and synthsize the information.,,water
Water resources,Atmospheric studies,Understanding the carbon cycle,What's your favorite ecosystem?,Unique
System Science applied to the Ocean,,Better understanding of the many factors that contribute to climate change,,Limited
