"I want to understand the science behind environmental problems, so that I can accurately and wisely communicate what we are doing to harm the environment, why harming the environment is ultimately bad for human well-being, and how we can take steps to live without harming the environment.","Good question! I've been reading a ton of books. Most relevant to this questionnaire is ""Merchants of Doubt"", about how various interested groups use the doubt always exists in science (since findings are never 100% certain) to question the validity of an entire scientific consensus. Anthropogenic climate change and cigarettes causing cancer are two examples. I've also taken up bird-watching—I was a casual bird-watcher before quarantine, but am reallllly into it now. I keep a pair of binoculars on my desk, and will try not to use them during class unless I see a particularly rare species outside of my window. I've also tried to surf a lot more- it's a great activity to get me away from phones, computers, emails, and NYTimes news alerts (which rarely seem to brighten up my day anymore). My newest quarantine hobby is longboarding (on a skateboard), so that I have something to do for a few short minutes in between classes once this quarter kicks into high gear!","I grew up in a city, so there aren't that many natural places I grew up with...but the first place that comes to mind is Clove Lakes Park, a city park near my parent's house. I go there every time I visit to get some fresh air. I suppose it demonstrates the importance of having green spaces in the middle of urban areas!"
"to develop business, social, and quantitative skills that will better prepare to launch an eco-venture or pursue environmental work in the private sector.","Unfortunately, I endured a series of unfortunate extenuating circumstances (mostly health-related) that have made this time of rapid change extremely challenging. I would be comfortable sharing more in-person, however, I would rather not go into more detail via an online form out of privacy concerns.",The brook in my backyard and the Long Island Sound.
"I came to Bren to change my career field to what I am more passionate about, and to join a field where I feel I can make a real difference in the world. I am looking forward to being exposed to new perspectives on our world and the problems it faces.","BAKING - lots of baking (bread, muffins, pies, sourdough, cookies, everything); yoga teacher training; gardening; Masterclasses on cooking, mixology & gardening","Imperial Sand Dunes, CA"
,Building a garden pond! Sweating!,Forests of northern Arizona
"I want to do environmental policy work, but really lack a lot of the technical knowledge and science training I think is necessary. I'm hoping to gain better understanding of how earth and environmental systems work, especially at the intersection of human systems, and gain the quantitative reasoning skills to advance policies that protect natural systems and humans most impacted by climate change, pollution, etc.","I've been hiking, doing yoga, meditating, and taking walks around bodies of water while talking on the phone. I've gotten really into cooking, I cook a lot, mostly mostly plant-based meals, curries. I've also been phone banking for progressive organizations and candidates. I've also been watching lots of Netflix/HBO, but also reading a lot too (Ibram Kendi currently!).","The Sonoran Desert, especially the small mountain behind my house, and local treasures like Sabino Canyon and Madera Canyon"
I want to understand how to help fight climate change. I am also very much looking forward to learning everything in class - I'm a big nerd for all of this 🤓,"I've been traveling across the country, and learning how expensive owning a car is...","The Mill River in Northampton, MA - we used to catch crawfish by hand in it, swim, boat, etc."
,"Cooking, baking, sewing, reading. Lots of podcasts!","The forests near Sendai, Japan"
I chose to come to Bren because of the interdisciplinarity of the program. I am looking forward to learning as much as I can and honing my new skillset.,I had a garden back home where I canned all of the produce before I left which was a fun skill to learn! I try and limit my screen time so my friends and I started a book club.,Lake Michigan. I grew up going to the beach no matter what the season!
I am very excited to learn in this interdisciplinary setting. I am excited to be back in school and to be part of a community that is so dedicated to protecting the environment. I am looking forward to building skills at Bren that will be useful in my career path.,Oyster farming and salmon fishing. I have not been consuming much content but definitely consuming lots of seafood.,North Haven Island in Maine
,,
I am fascinated by the science behind how the world works and how we can use this science to make better environmental management strategies.I hope to use the knowledge that I attain during my time at Bren to help inform coastal management and work towards protecting our natural marine resources and marine life. Protecting the ocean is and always will be my biggest passion.,"I lived in San Luis Obispo/Morro Bay so I was spending a lot of time outside on the coast - surfing, hiking, backpacking and beach days up Highway One. Reading a couple books: 21 Lessons for the 21st Century by Yuval Noah Harari and Where the Wild Things Were by William Stolzenbug. Played more bananagrams and card games with the roommates than I thought was possible when quarantine first started...",Lake Tahoe
Building friendships and a network with like-minded individuals,"Disc golfing, running, and brewing beer",the ocean
foundational understanding,outdoor activities,back woods
I decided to come to Bren to get myself more skills in Environmental Science. I'm looking forward to getting myself more skills in things like R and GIS. Becoming a more qualified Environmental Professional and helping fix environmental problems.,Working here and there and birding quite a bit.,The Bolsa Chica wetlands in Huntington Beach. Saw houses get built on the adjacent Mesa while I was a kid.
I’m excited by the interdisciplinary topics and the prospect of growing my foundation in a number of critical areas to succeed in an environmentally focused business.,"Lots of work, renting boats at a lake marina, refinishing a 1960’s sail boat",My home of Big Bear Lake
how our everyday actions effect the planet and how we can change our habits to be more sustainable.,"a lot of TV at first, then baking, oil painting, bike riding",north spectacle lake in CT
Research group project and improve my technical skills with data analysis,"I have been doing a lot of yoga, biking, and learning to surf since I have been in SB. I've also been reading a lot of self-help books and consuming less news content to keep anxiety levels down.",This wood-lot behind the local kindergarten across the street from my subdivision. It had biking trails throughout it and it was the only place I knew where I could get away from everything that was happening at home and breathe the fresh air.
"I chose to come to Bren because of the collaborative nature here. I am most excited about joining the Bren network, learning technical skills, and becoming better at scientific communication.",I have been trying to learn guitar!,I am from Southern California so the beaches were my favorite as a kid.
I wanted to learn about economics and markets to supplement my background in hydrology. I look forward to finding sustainable (environmental and economic) solutions in water management.,"I am watching all the Marvel movies, reading more deeply about philanthropy and giving, and going on long, ambling hikes. I've also been trying to do multisport adventures while I have the time!","The forest behind my home growing up, especially in October when the angle of the sunlight seems absolutely radiant."
"I wanted to further my career as environmental professional and I am most looking forward to gaining knowledge of politics and policies related to the environment, as well as bringing green solutions to the corporate world","I have been playing a lot of Animal Crossing on my Nintendo Switch, and binging a show called Criminal Minds on Netflix",The ocean / beach
"This is such a hard question to answer within a small window. But, I came to Bren so I could (in some way) make the world a better place. I want to focus on water resources and availability as well as convey that importance to people. The Comms Focus will give me the skills I need to explain to people who may not care or understand.",Solo outside journeys have been absolutely necessary for me. I took up running (not a runner) and mountain biking (really NOT a mountain biker). I recently went off Mammoth Mountain in E. California and flew over the handlebars and spent a night in the hospital! It was awful but also super fun! I clearly tried too hard to push myself out of my comfort zone.,"4 Miles (Hilo, HI) and Sano (San Onofre State Beach, CA)"
Obtain a degree to assist me in my next career. Looking forward to learning new skills and information,"Taking care of my parents, teaching classes and summer school, reading environmental books and articles, exercising",Lake in Canada
"explore environmental science, gain skills to enable myself to try to make a positive change",started making water kefir and learning German,an area I went to camp in Malibu
I decided to come to Bren to expand my professional network and looking most forward to making connections with other Brennies during my time here.,"I have been consuming lots of news and political content as we get closer to the election, as well as spending lots of quality time hanging out and playing board games with my family!",The ocean
to gain expertise in the environmental field,puppy foster,Acadia National Park
"I decided to come to Bren because I wanted to change the path I was on and have the tools to find a career that institutes change. I am looking forward to being surrounded by like minded people, and being challenged to push myself academically as well as in internship and job searches.","I have been trying to spend as much time as possible outside: hiking and being at the beach. I started surfing at the beginning of quarantine, so I have been doing a lot of that! I have been listening to more news podcasts & reading a lot!","Big Sur, my family camped there every summer growing up."
"I can to Bren to learn more about conservation practices and how to communicate environmental issues with others. I'm looking forward to learning about this in an interdisciplinary manner, and I am also looking forward to learning from other students.","I started taking a martial arts class over Zoom and I'm trying to teach myself how to rollerskate! Because I've been less busy over quarantine, I've spent a lot more time following the news.",There's a small park by my house where I spent a lot of time as a child.
"I decided to apply and attend Bren because I am wanting to reenter the environmental field and elevate my career. I chose the program because it seems to have a good balance between increasing my technical/scientific foundation that I know I need, with also providing opportunities in the area of business/entrepreneurship which is where I'm interested in pivoting to with my career.","I look back on the past 6 months of Covid and think about how busy it felt at times, but also questioning if there was anything major that I accomplished. For me, a big milestone was figuring out some health issues I've been having that were previously inhibiting my physical activity. I'm grateful I've figured it out what was wrong and I'm finally getting back into shape via cycling, surfing, hiking and yoga. I also took a pre-calculus course to brush up on my math skills. I've also been taking online courses in graphic design, online marketing, and coding to gain some knowledge of areas I previously knew nothing about. Most of my content has been through Coursera (and Shaw Academy - a UK based online learning platform similar to Coursera).",The beach/ocean - or pretty much any body of water. I was learning how to swim before I learned how to walk. Anything I can do to be in or around water makes me really happy :)
It is a well-established program. It has a good focus on learning the science of the environment. I liked the water resources management and corporate environmental management specializations.,"I finished my last semester of my undergrad and spent the summer working. Been trying to keep in touch with my friends and have been working on my current hobbies of golfing, videogames and cooking. I have been consuming mostly social media during quarantine. Watching cable news, or even keeping up with it over social media, makes me sad.",The Fort Bragg coast in Nor Cal.
Contribute to reverse or lessen the current environmental deterioration,,A beach in southern Argentina called Puerto Piramides
