slug,set,kind,external_i,name,display_na,sqmi,type,name_1,tempmean,tempmedian,tempstdev,ndvimean,ndvimedian,ndvistdev
beverly-grove,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),beverly-grove,Beverly Grove,Beverly Grove L.A. County Neighborhood (V5),1.648683133,segment-of-a-city,,36.22047509,36.08391953,1.107745304,0.114340806,0.118267335,0.05750684
beverly-hills,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),beverly-hills,Beverly Hills,Beverly Hills L.A. County Neighborhood (V5),5.702241332,standalone-city,,33.27143615,32.96797943,1.697358596,0.183656603,0.1857979,0.077372241
beverlywood,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),beverlywood,Beverlywood,Beverlywood L.A. County Neighborhood (V5),0.794341837,segment-of-a-city,,34.64000924,34.60810852,0.801351732,0.179165358,0.177906558,0.042683756
boyle-heights,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),boyle-heights,Boyle Heights,Boyle Heights L.A. County Neighborhood (V5),6.519005309,segment-of-a-city,,38.7885223,39.02227783,1.683414612,0.079518987,0.071446165,0.052659283
bradbury,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),bradbury,Bradbury,Bradbury L.A. County Neighborhood (V5),1.928422144,standalone-city,,33.545505,33.43415833,2.049715176,0.207427939,0.196400821,0.058247779
brentwood,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),brentwood,Brentwood,Brentwood L.A. County Neighborhood (V5),15.22370141,segment-of-a-city,,31.39756594,31.31184196,2.093864293,0.208665827,0.19937107,0.072057046
broadway-manchester,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),broadway-manchester,Broadway-Manchester,Broadway-Manchester L.A. County Neighborhood (V5),1.558485825,segment-of-a-city,,38.44096583,38.73905945,1.065546924,0.083733388,0.083702713,0.036028454
burbank,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),burbank,Burbank,Burbank L.A. County Neighborhood (V5),17.34184248,standalone-city,,37.81600773,37.9500885,2.174403146,0.127353838,0.124764256,0.07004028
calabasas,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),calabasas,Calabasas,Calabasas L.A. County Neighborhood (V5),18.54261351,standalone-city,,37.57543732,37.48389053,2.700650358,0.164241754,0.148425668,0.064386859
canoga-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),canoga-park,Canoga Park,Canoga Park L.A. County Neighborhood (V5),4.348518125,segment-of-a-city,,40.45395703,40.31147003,1.419392877,0.117020767,0.114816099,0.070767365
carson,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),carson,Carson,Carson L.A. County Neighborhood (V5),19.14958849,standalone-city,,37.46682879,37.66025162,1.71092215,0.083986494,0.072451741,0.064801828
carthay,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),carthay,Carthay,Carthay L.A. County Neighborhood (V5),0.504675757,segment-of-a-city,,35.42068139,35.31804276,0.803492275,0.140659192,0.14795509,0.051980644
castaic-canyons,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),castaic-canyons,Castaic Canyons,Castaic Canyons L.A. County Neighborhood (V5),192.7026366,unincorporated-area,,38.10852097,38.51076508,3.989394345,0.161306893,0.153408572,0.045804443
castaic,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),castaic,Castaic,Castaic L.A. County Neighborhood (V5),5.476575183,unincorporated-area,,39.85047031,39.9401741,1.689675135,0.151369113,0.141671836,0.051188541
central-alameda,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),central-alameda,Central-Alameda,Central-Alameda L.A. County Neighborhood (V5),2.182694848,segment-of-a-city,,39.45612146,39.29640198,1.029663075,0.074557681,0.072326168,0.043181676
century-city,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),century-city,Century City,Century City L.A. County Neighborhood (V5),0.700611363,segment-of-a-city,,33.3158798,33.61948395,1.434497509,0.115814471,0.114755012,0.067035575
cerritos,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),cerritos,Cerritos,Cerritos L.A. County Neighborhood (V5),8.858255458,standalone-city,,35.78262605,35.65899658,1.618716826,0.136097544,0.126907378,0.083325937
charter-oak,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),charter-oak,Charter Oak,Charter Oak L.A. County Neighborhood (V5),0.921541249,unincorporated-area,,39.38734963,39.46717834,0.837584418,0.118515273,0.119096585,0.049685916
chatsworth,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),chatsworth,Chatsworth,Chatsworth L.A. County Neighborhood (V5),15.24359666,segment-of-a-city,,38.89689413,38.76676941,2.222263254,0.147519862,0.152961209,0.065132335
chatsworth-reservoir,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),chatsworth-reservoir,Chatsworth Reservoir,Chatsworth Reservoir L.A. County Neighborhood (V5),1.801092977,segment-of-a-city,,40.81215699,40.84655762,1.341172079,0.159109311,0.15739055,0.027602018
chesterfield-square,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),chesterfield-square,Chesterfield Square,Chesterfield Square L.A. County Neighborhood (V5),0.633386374,segment-of-a-city,,37.82874088,37.83637619,0.708753515,0.092014828,0.097266369,0.044549069
cheviot-hills,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),cheviot-hills,Cheviot Hills,Cheviot Hills L.A. County Neighborhood (V5),1.536433381,segment-of-a-city,,33.56657753,33.70595169,1.432901206,0.22001124,0.203043908,0.087961175
chinatown,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),chinatown,Chinatown,Chinatown L.A. County Neighborhood (V5),0.909367075,segment-of-a-city,,38.58634413,38.74119186,1.231387136,0.062418353,0.042469829,0.061037653
citrus,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),citrus,Citrus,Citrus L.A. County Neighborhood (V5),1.011550851,unincorporated-area,,39.46376614,39.54665756,0.849485274,0.136984108,0.136510983,0.043655189
claremont,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),claremont,Claremont,Claremont L.A. County Neighborhood (V5),16.66168657,standalone-city,,36.00958141,36.24480438,2.267834169,0.174587913,0.169242248,0.06320662
commerce,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),commerce,Commerce,Commerce L.A. County Neighborhood (V5),6.58056685,standalone-city,,39.87875711,39.72240448,1.653220198,0.053480758,0.040236417,0.047579677
compton,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),compton,Compton,Compton L.A. County Neighborhood (V5),10.26041138,standalone-city,,38.16167298,38.16008759,1.27909222,0.106224272,0.104776815,0.063585465
covina,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),covina,Covina,Covina L.A. County Neighborhood (V5),7.6040265,standalone-city,,39.00309718,39.25818634,1.547707508,0.128864799,0.125371009,0.069883402
cudahy,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),cudahy,Cudahy,Cudahy L.A. County Neighborhood (V5),1.229035538,standalone-city,,38.69525426,38.9180069,1.25463746,0.088097357,0.082809396,0.04787011
culver-city,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),culver-city,Culver City,Culver City L.A. County Neighborhood (V5),5.19276111,standalone-city,,34.50950618,34.54977798,1.234790045,0.12001151,0.115519367,0.069257719
cypress-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),cypress-park,Cypress Park,Cypress Park L.A. County Neighborhood (V5),0.724461995,segment-of-a-city,,38.35922665,38.73479462,1.460207914,0.08730507,0.086434081,0.046518787
del-aire,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),del-aire,Del Aire,Del Aire L.A. County Neighborhood (V5),0.989829124,unincorporated-area,,35.05520913,35.32242203,0.914207101,0.113863629,0.113592461,0.043656613
del-rey,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),del-rey,Del Rey,Del Rey L.A. County Neighborhood (V5),2.452648329,segment-of-a-city,,34.04677153,34.27427292,1.13552326,0.11385616,0.115328468,0.051857139
desert-view-highlands,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),desert-view-highlands,Desert View Highlands,Desert View Highlands L.A. County Neighborhood (V5),0.443173884,unincorporated-area,,43.14514453,43.35892868,1.071130498,0.125100672,0.121176019,0.054397424
diamond-bar,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),diamond-bar,Diamond Bar,Diamond Bar L.A. County Neighborhood (V5),15.12603229,standalone-city,,36.44488237,36.23937225,2.483887397,0.149954619,0.141846299,0.060395171
downey,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),downey,Downey,Downey L.A. County Neighborhood (V5),12.52947792,standalone-city,,37.3856843,37.50756454,1.311482158,0.13230675,0.130540907,0.075225155
downtown,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),downtown,Downtown,Downtown L.A. County Neighborhood (V5),5.83816978,segment-of-a-city,,38.46371263,38.99036789,2.594452294,0.039506483,0.028537832,0.038860455
duarte,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),duarte,Duarte,Duarte L.A. County Neighborhood (V5),6.688907714,standalone-city,,34.60395972,35.26332092,3.904398947,0.177431155,0.175865293,0.067847542
eagle-rock,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),eagle-rock,Eagle Rock,Eagle Rock L.A. County Neighborhood (V5),4.250755919,segment-of-a-city,,36.5887657,36.67105865,1.485133104,0.135814098,0.136598557,0.054622998
east-compton,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),east-compton,East Compton,East Compton L.A. County Neighborhood (V5),0.834359226,unincorporated-area,,37.61538363,37.64735413,0.524219097,0.122472529,0.122259416,0.042142428
east-hollywood,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),east-hollywood,East Hollywood,East Hollywood L.A. County Neighborhood (V5),2.378736378,segment-of-a-city,,38.78709947,38.9180069,0.908736948,0.076874929,0.071928442,0.040942253
east-la-mirada,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),east-la-mirada,East La Mirada,East La Mirada L.A. County Neighborhood (V5),1.110065245,unincorporated-area,,37.37898555,37.50540924,0.994392628,0.138354717,0.132523894,0.056496863
east-los-angeles,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),east-los-angeles,East Los Angeles,East Los Angeles L.A. County Neighborhood (V5),7.465964364,unincorporated-area,,38.81462591,39.19871902,1.351634747,0.096261934,0.087807462,0.05791015
east-pasadena,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),east-pasadena,East Pasadena,East Pasadena L.A. County Neighborhood (V5),1.307927124,unincorporated-area,,36.10576055,35.97618866,2.021077198,0.173371552,0.175222918,0.074684067
east-san-gabriel,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),east-san-gabriel,East San Gabriel,East San Gabriel L.A. County Neighborhood (V5),2.182742317,unincorporated-area,,38.00064166,38.0979805,1.160603953,0.144930851,0.143971831,0.05139217
echo-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),echo-park,Echo Park,Echo Park L.A. County Neighborhood (V5),2.39828121,segment-of-a-city,,36.57240665,36.94688797,1.746480702,0.129092296,0.125923485,0.05955956
elizabeth-lake,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),elizabeth-lake,Elizabeth Lake,Elizabeth Lake L.A. County Neighborhood (V5),6.305567594,unincorporated-area,,41.30051551,41.61966324,3.09658,0.171550131,0.162967011,0.041293321
el-monte,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),el-monte,El Monte,El Monte L.A. County Neighborhood (V5),9.69174809,standalone-city,,38.67887401,38.64096451,1.074230182,0.108426839,0.106078073,0.05966763
el-segundo,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),el-segundo,El Segundo,El Segundo L.A. County Neighborhood (V5),5.45900813,standalone-city,,33.90513368,33.90969086,1.31513669,0.088003401,0.063716702,0.0733326
el-sereno,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),el-sereno,El Sereno,El Sereno L.A. County Neighborhood (V5),4.167778899,segment-of-a-city,,38.24720772,38.40608597,1.363898142,0.123554565,0.123777859,0.050773929
elysian-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),elysian-park,Elysian Park,Elysian Park L.A. County Neighborhood (V5),1.645084298,segment-of-a-city,,35.95753322,35.74845505,2.268353476,0.14631019,0.147226647,0.075448114
elysian-valley,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),elysian-valley,Elysian Valley,Elysian Valley L.A. County Neighborhood (V5),0.789759467,segment-of-a-city,,36.8572883,37.16821289,1.486726412,0.112533041,0.100813642,0.06975302
encino,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),encino,Encino,Encino L.A. County Neighborhood (V5),9.499707,segment-of-a-city,,35.71655934,35.5104866,2.570361572,0.171794415,0.173650846,0.066999167
exposition-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),exposition-park,Exposition Park,Exposition Park L.A. County Neighborhood (V5),1.846790776,segment-of-a-city,,38.40966143,39.04993057,1.650633819,0.098911861,0.093775004,0.055130538
fairfax,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),fairfax,Fairfax,Fairfax L.A. County Neighborhood (V5),1.233964773,segment-of-a-city,,37.01800813,37.07864761,1.115671703,0.12389526,0.127441093,0.066252711
florence-firestone,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),florence-firestone,Florence-Firestone,Florence-Firestone L.A. County Neighborhood (V5),3.579486017,unincorporated-area,,38.63895484,38.7305336,0.79255158,0.09005202,0.088073522,0.052044237
florence,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),florence,Florence,Florence L.A. County Neighborhood (V5),2.797678853,segment-of-a-city,,39.10067112,38.9605751,0.937193075,0.078262306,0.077357374,0.043133197
gardena,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),gardena,Gardena,Gardena L.A. County Neighborhood (V5),5.843891847,standalone-city,,38.30230151,38.38471222,1.126080655,0.08350016,0.081604213,0.049685179
glassell-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),glassell-park,Glassell Park,Glassell Park L.A. County Neighborhood (V5),2.752910105,segment-of-a-city,,37.12127443,37.34715271,2.07652123,0.142718761,0.124680847,0.091678145
glendale,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),glendale,Glendale,Glendale L.A. County Neighborhood (V5),30.62798326,standalone-city,,35.05313208,35.14065552,2.744840836,0.150328694,0.15047057,0.064091291
glendora,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),glendora,Glendora,Glendora L.A. County Neighborhood (V5),19.54134036,standalone-city,,35.1741722,36.08174133,3.653109679,0.169106769,0.167691454,0.062217794
gramercy-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),gramercy-park,Gramercy Park,Gramercy Park L.A. County Neighborhood (V5),1.134038823,segment-of-a-city,,37.99569293,38.11511612,1.116077622,0.117495417,0.112714373,0.055946203
granada-hills,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),granada-hills,Granada Hills,Granada Hills L.A. County Neighborhood (V5),15.11143206,segment-of-a-city,,38.29367686,38.48727417,2.024538985,0.149745298,0.150523826,0.065534263
green-meadows,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),green-meadows,Green Meadows,Green Meadows L.A. County Neighborhood (V5),2.219852493,segment-of-a-city,,38.47518887,38.66442871,0.764270537,0.106615117,0.105032682,0.048499629
green-valley,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),green-valley,Green Valley,Green Valley L.A. County Neighborhood (V5),2.605197709,unincorporated-area,,35.3179715,35.40336609,2.84526526,0.208429751,0.200962573,0.040698409
griffith-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),griffith-park,Griffith Park,Griffith Park L.A. County Neighborhood (V5),5.833521803,segment-of-a-city,,33.73512054,33.59952164,1.994264475,0.188513529,0.173329204,0.085186436
hacienda-heights,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hacienda-heights,Hacienda Heights,Hacienda Heights L.A. County Neighborhood (V5),11.88705403,unincorporated-area,,35.8226906,36.03822327,2.433006015,0.154926781,0.148665339,0.059806056
hancock-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hancock-park,Hancock Park,Hancock Park L.A. County Neighborhood (V5),1.517979557,segment-of-a-city,,34.25806322,33.88534546,1.557180859,0.19777016,0.191724062,0.091523207
hansen-dam,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hansen-dam,Hansen Dam,Hansen Dam L.A. County Neighborhood (V5),1.961069236,segment-of-a-city,,36.5040606,36.98578262,3.258066962,0.192719949,0.159061551,0.11034089
harbor-city,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),harbor-city,Harbor City,Harbor City L.A. County Neighborhood (V5),2.581320953,segment-of-a-city,,36.0117432,37.06137466,2.758621639,0.127962045,0.104365066,0.103589525
harbor-gateway,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),harbor-gateway,Harbor Gateway,Harbor Gateway L.A. County Neighborhood (V5),5.140923125,segment-of-a-city,,38.16451454,38.21788406,1.504851718,0.084726109,0.080834955,0.054795683
harvard-heights,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),harvard-heights,Harvard Heights,Harvard Heights L.A. County Neighborhood (V5),0.791828822,segment-of-a-city,,38.94479151,39.07119751,0.776875139,0.081389696,0.076502085,0.044938992
harvard-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),harvard-park,Harvard Park,Harvard Park L.A. County Neighborhood (V5),0.640666412,segment-of-a-city,,38.95341745,38.9201355,0.739458185,0.102723186,0.100883774,0.044237434
hasley-canyon,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hasley-canyon,Hasley Canyon,Hasley Canyon L.A. County Neighborhood (V5),3.101984512,unincorporated-area,,40.96839937,41.10335541,1.678892046,0.164584088,0.154701099,0.038244105
hawaiian-gardens,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hawaiian-gardens,Hawaiian Gardens,Hawaiian Gardens L.A. County Neighborhood (V5),0.985072536,standalone-city,,36.51101346,36.55947876,0.768128134,0.099868001,0.094561189,0.062348208
hawthorne,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hawthorne,Hawthorne,Hawthorne L.A. County Neighborhood (V5),6.229634267,standalone-city,,36.24970094,36.42285156,1.29463769,0.079507728,0.07263092,0.051159371
hermosa-beach,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hermosa-beach,Hermosa Beach,Hermosa Beach L.A. County Neighborhood (V5),1.47762686,standalone-city,,32.36815299,32.56829834,0.953298891,0.08821781,0.068486542,0.062643108
hidden-hills,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hidden-hills,Hidden Hills,Hidden Hills L.A. County Neighborhood (V5),1.703973149,standalone-city,,36.70562443,36.49226761,1.361761712,0.229543864,0.227951616,0.055391973
highland-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),highland-park,Highland Park,Highland Park L.A. County Neighborhood (V5),3.4194179,segment-of-a-city,,37.81467213,38.0744133,1.271668412,0.122191204,0.117841065,0.050569094
historic-south-central,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),historic-south-central,Historic South-Central,Historic South-Central L.A. County Neighborhood (V5),2.553518984,segment-of-a-city,,39.54181322,39.51911163,1.154625687,0.067073487,0.061881084,0.043339208
hollywood-hills,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hollywood-hills,Hollywood Hills,Hollywood Hills L.A. County Neighborhood (V5),7.047640743,segment-of-a-city,,33.258286,33.29637909,1.997799521,0.178794996,0.171050042,0.077736429
hollywood-hills-west,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hollywood-hills-west,Hollywood Hills West,Hollywood Hills West L.A. County Neighborhood (V5),4.874574376,segment-of-a-city,,33.38673082,33.41083527,1.640382859,0.192097516,0.188221395,0.055263292
hollywood,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hollywood,Hollywood,Hollywood L.A. County Neighborhood (V5),3.506390221,segment-of-a-city,,37.57019184,37.82993698,1.357700744,0.087099546,0.07007651,0.063983706
huntington-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),huntington-park,Huntington Park,Huntington Park L.A. County Neighborhood (V5),3.034666553,standalone-city,,39.024923,39.00526047,0.954251864,0.080925134,0.075779125,0.05075454
hyde-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),hyde-park,Hyde Park,Hyde Park L.A. County Neighborhood (V5),2.884646416,segment-of-a-city,,36.93619915,36.97282028,0.693651039,0.107777375,0.110038683,0.042216767
industry,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),industry,Industry,Industry L.A. County Neighborhood (V5),12.35035695,standalone-city,,39.36331479,39.72240448,2.720728802,0.087160771,0.062557578,0.083738397
inglewood,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),inglewood,Inglewood,Inglewood L.A. County Neighborhood (V5),9.122682999,standalone-city,,35.79771573,36.15568924,1.489465472,0.111175096,0.100972354,0.073790215
irwindale,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),irwindale,Irwindale,Irwindale L.A. County Neighborhood (V5),9.582259736,standalone-city,,37.65286305,38.10012054,3.156833126,0.070778722,0.069817469,0.065837816
jefferson-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),jefferson-park,Jefferson Park,Jefferson Park L.A. County Neighborhood (V5),1.419020098,segment-of-a-city,,38.46413401,38.79660416,1.156605974,0.109351728,0.108491875,0.045630687
koreatown,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),koreatown,Koreatown,Koreatown L.A. County Neighborhood (V5),2.700483115,segment-of-a-city,,38.4250496,38.7475853,1.200574087,0.073239876,0.062434193,0.048650246
